pdb,res,year,neglog_aff,affinity,ref,ligand,measurement
2g9c,1.7,2006,0.377555334,2uM,2g9c.pdf,3AY,Kd
2f4u,2.6,2006,0.321954912,5.9uM,2f4s.pdf,AB6,Kd
2au4,NMR,2006,0.54630959,75nM,2au4.pdf,GTP,Kd
2o3w,2.8,2007,0.364070869,2.6uM,2o3v.pdf,PAR,Kd
3b31,2.4,2007,0.732586097,2nM,3b31.pdf,IRI,Kd
2o3x,2.9,2007,0.212118099,50uM,2o3v.pdf,N30,Kd
2jwq,NMR,2008,0.463865817,373nM,2jwq.pdf,MM0,IC50
3e5c,2.25,2008,0.797101712,0.57nM,3e5c.pdf,SAM,Kd
3fo4,1.9,2009,0.430064088,0.72uM,3fo4.pdf,6GU,Kd
3ger,1.7,2009,0.419169672,0.89uM,3fo4.pdf,6GU,Kd
2kgp,NMR,2009,0.413180304,1uM,2kgp.pdf,MIX,Kd
3fu2,2.85,2009,0.614242509,20nM,3fu2.pdf,PRF,Kd
3ges,2.15,2009,0.259211747,20uM,3fo4.pdf,6GO,Kd
3fo6,1.9,2009,0.252028547,23uM,3fo4.pdf,6GO,Kd
3gog,2.1,2009,0.249841154,24uM,3fo4.pdf,6GU,Kd
3ds7,1.85,2009,0.224888011,39uM,3ds7.pdf,GNG,Kd
3gao,1.9,2009,0.224888011,39uM,3fo4.pdf,XAN,Kd
3g4m,2.4,2009,0.337031806,4.4uM,3fo4.pdf,2BP,Kd
3got,1.95,2009,0.341930365,4uM,3fo4.pdf,A2F,Kd
3jq4,3.52,2010,0.294836717,10uM,3jq4.pdf,LC2,IC50
3mum,2.9,2010,0.848422066,0.21nM,3mum.pdf,C2E,Kd
3mxh,2.3,2010,0.999999682,11pM,3mum.pdf,C2E,Kd
3mur,3,2010,0.629028208,15nM,3mum.pdf,C2E,Kd
3la5,1.7,2010,0.413180304,1uM,3la5.pdf,5AZ,Kd
2ku0,NMR,2010,0.364070869,2.6uM,2ktz.pdf,ISI,Kd
3owz,2.95,2010,0.34879334,3.5uM,3owz.pdf,GLY,Kd
3npn,2.79,2010,0.590086218,32nM,3npn.pdf,SAH,Kd
2kx8,NMR,2010,0.31850196,6.31uM,2kx8.pdf,ARG,Kd
2ktz,NMR,2010,0.300251822,9uM,2ktz.pdf,ISH,Kd
2ygh,2.6,2011,0.473374386,0.31uM,2ydh.pdf,SAM,Kd
2ydh,2.9,2011,0.378856568,1.95uM,2ydh.pdf,SAM,Kd
2xo1,1.6,2011,0.176493129,100uM,2xnw.pdf,N6M,Kd
2xnz,1.59,2011,0.17159457,110uM,2xnw.pdf,3AW,Kd
3sd3,1.95,2011,0.264626853,18uM,3sd1.pdf,FOZ,Kd
3q50,2.75,2011,0.731316996,2.05nM,3q50.pdf,PRF,Kd
3q3z,2.51,2011,0.727687538,2.2nM,3q3z.pdf,C2E,Kd
2l94,NMR,2011,0.110658296,360uM,2l94.pdf,L94,Kd
2xnw,1.5,2011,0.109250099,370uM,2xnw.pdf,ZZR,Kd
3slm,2.7,2011,0.108014889,379uM,3ski.pdf,DGP,Kd
2xo0,1.7,2011,0.187961808,80uM,2xnw.pdf,ZZS,Kd
3s4p,2.56,2011,0.413180304,1.0uM,3s4p.pdf,JS6,Ki
4aob,2.95,2012,0.449843611,0.49uM,4aob.pdf,SAM,Kd
4fe5,1.32,2012,0.429214549,0.732uM,1u8d.pdf,HPA,Kd
2loa,NMR,2012,0.372656776,2.2uM,2loa.pdf,C4Q,Kd
4erj,3,2012,3.62131E-08,3100uM,4erj.pdf,ACA,Kd
2lwk,NMR,2012,0.211606692,50.5uM,2lwk.pdf,0EC,Kd
4erl,3,2012,0.087040187,570uM,4erj.pdf,LYS,Kd
2mb3,NMR,2013,0.310312304,7.4uM,2mb3.pdf,L2H,IC50
4jf2,2.28,2013,0.619943944,17.9nM,4jf2.pdf,PRF,Kd
4kqy,3.02,2013,0.616878778,19nM,3npb.pdf,SAM,Kd
4oqu,3.2,2014,0.459004851,0.41uM,4l81.pdf,SAM,Kd
4lvz,1.77,2014,0.448805274,0.5uM,4lvv.pdf,6AP,Kd
4nyg,3.05,2014,0.392341033,1.5uM,4nya.pdf,VIB,Kd
4nyb,3.1,2014,0.174973926,103uM,4nya.pdf,2QC,Kd
4lvy,2,2014,0.17159457,110uM,4lvv.pdf,LYA,Kd
4lvx,1.9,2014,0.264626853,18uM,4lvv.pdf,H4B,Kd
4qln,2.65,2014,0.358458466,2.9uM,4qlm.pdf,2BA,Kd
4lx5,2.13,2014,0.492662271,213nM,4lx5.pdf,29G,Kd
4nyc,3.15,2014,0.123574844,280uM,4nya.pdf,SVN,Kd
4qk8,3.05,2014,0.47505965,300nM,4qk8.pdf,2BA,Kd
4qk9,3.05,2014,0.47505965,300nM,4qk8.pdf,2BA,Kd
4nya,2.65,2014,0.213156436,49uM,4nya.pdf,2QB,Kd
4w90,3.12,2014,0.564057192,53.1nM,4w90.pdf,2BA,Kd
4ts0,2.8,2014,0.445810487,530nM,4ts0.pdf,38E,Kd
4ts2,2.88,2014,0.445810487,530nM,4ts0.pdf,38E,Kd
4qlm,2.72,2014,0.552879709,66nM,4qlm.pdf,2BA,Kd
4lvw,1.77,2014,0.197848947,66uM,4lvv.pdf,7DG,Kd
4nyd,2.9,2014,0.078732474,670uM,4nya.pdf,HPA,Kd
4l81,2.95,2014,0.31101158,7.3uM,4l81.pdf,SAM,Kd
4lw0,1.89,2014,0.306305395,8uM,4lvv.pdf,ADE,Kd
4lvv,2.1,2014,0.296934803,9.6uM,4lvv.pdf,FFO,Kd
4lx6,2.15,2014,0.53416016,95nM,4lx5.pdf,29H,Kd
2mg8,NMR,2014,0.415011397,965nM,2mg8.pdf,XR2,Kd
4yb0,2.12,2015,0.416910145,0.93uM,4yaz.pdf,C2E,Kd
4xwf,1.8,2015,0.409224817,1.08uM,4xw7.pdf,AMZ,Kd
4znp,2.94,2015,0.333641832,4.7uM,4znp.pdf,AMZ,Kd
5c7u,3.05,2015,0.576109922,42nM,5c7u.pdf,HPA,Kd
5btp,2.82,2015,0.450159248,487nM,5btp.pdf,AMZ,Kd
5c7w,3.22,2015,0.569246947,48nM,5c7u.pdf,HPA,Kd
2mxs,NMR,2015,0.329443911,5.1uM,2mxs.pdf,PAR,Kd
4rzd,2.75,2015,0.672007983,6.5nM,4rzd.pdf,PRF,Kd
4yaz,2,2015,0.552337471,66.7nM,4yaz.pdf,4BW,Kd
2n0j,NMR,2016,0.470161092,0.33uM,2n0j.pdf,RIO,Kd
5cdb,1.7,2016,0.408281745,1.1uM,5cdb.pdf,50B,Kd
5lwj,NMR,2016,0.359118427,2863nM,5lwj.pdf,GTP,Kd
5kpy,2,2017,0.343231598,3.9uM,5kpy.pdf,4PQ,Kd
5uee,1.9,2017,0.14086816,0.2mM,5ued.pdf,GP3,Kd
5v3f,1.7,2017,0.711746825,3nM,5v3f.pdf,74G,Kd
5z80,NMR,2018,0.402960172,1.22uM,5z80.pdf,9F0,IC50
6dmc,2.2,2018,0.447787498,0.51uM,6dlq.pdf,G4P,Kd
6c65,2.8,2018,0.773626172,0.9nM,6c63.pdf,EKJ,Kd
6c63,2.9,2018,0.763312507,1.1nM,6c63.pdf,EKJ,Kd
6c64,3,2018,0.75091775,1.4nM,6c63.pdf,EKM,Kd
6ck4,3.1,2018,0.38297044,1.8uM,6ck4.pdf,G4P,Kd
5w77,NMR,2018,0.269098886,16.5uM,5w77.pdf,9WP,Kd
6ck5,2.49,2018,0.377555334,2.0uM,6ck4.pdf,PRP,Kd
6fz0,2.5,2018,0.337383433,4.37uM,6fz0.pdf,SAM,Kd
6dlt,2.9,2018,0.203437395,59.2uM,6dlq.pdf,PRP,Kd
6e84,2.9,2019,0.395886988,1.4uM,6e80.pdf,J0D,Kd
6j2w,NMR,2019,0.395886988,1.4uM,6j2w.pdf,B2U,Kd
6e8t,2.9,2019,0.740938914,1.7nM,6e8s.pdf,HZG,Kd
6qn3,2.3,2019,0.143504428,190uM,6qn3.pdf,GLN,Kd
6e8s,2.35,2019,0.725402896,2.3nM,6e8s.pdf,EKJ,Kd
6hmo,NMR,2019,0.241918431,28uM,6hmo.pdf,GDZ,Kd
6hag,NMR,2019,0.345937274,3.7uM,6hag.pdf,SAH,Kd
6p2h,2.8,2019,0.586970357,34nM,6p2h.pdf,GNG,Kd
6jj0,NMR,2019,0.584032645,36nM,6jj0.pdf,BO6,Kd
6e81,2.72,2019,0.356716063,3uM,6e80.pdf,TFX,Kd
6e8u,1.55,2019,0.689777927,4.6nM,6e8s.pdf,HZD,Kd
6hbt,1.66,2019,0.333641832,4.7uM,6hbt.pdf,FXQ,Kd
6sx3,NMR,2019,0.31316837,6sx3.pdf,LWQ,Kd,
